List the Tasks,At what time,Date,Put Alarm,Status,Until
,,,Haven't done,Not started,
"gym jana hai ","7:00 pm ","December 14, 2023",Haven't done,Not started,
,,,Haven't done,Not started,
kapde dhone hain,4 pm,"December 14, 2023",Haven't done,Done,4:20
,,,Haven't done,Not started,
"khana 2nd meal ",4:20,,Haven't done,In progress,
"pay internet ",,,Haven't done,Done,
"khana 1st meal ",2:00 pm,,Haven't done,Done,
"milne jana hai ",5 pm,"December 14, 2023",Haven't done,Unfinished/not done,
padai karni hai,1 pm,"December 14, 2023",Haven't done,Done,
,,,Haven't done,Not started,
